check_id,country_id,indicator_id,year,value,unit,status,source_name,source_url,source_reliability_level,updated_at,is_official_data,is_pending,is_computed,is_manual,included_in_derived_comparison,included_in_five_year_change,included_in_mean_gap,included_in_rank_change,missing_reason,note
"v4_quality:poland:automotive_export_share:2023","poland","automotive_export_share","2023","15.1","%","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&nace_r2=TOTAL&geo=PL&time=2023","A","2026-07-03","true","false","true","false","true","true","true","true","","由 Eurostat ext_tec09 计算：NACE C29 机动车、挂车和半挂车制造业出口 / 全部 NACE 出口。"
"v4_quality:poland:automotive_export_share:2024","poland","automotive_export_share","2024","15","%","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&nace_r2=TOTAL&geo=PL&time=2024","A","2026-07-03","true","false","true","false","true","true","true","true","","由 Eurostat ext_tec09 计算：NACE C29 机动车、挂车和半挂车制造业出口 / 全部 NACE 出口。"
"v4_quality:poland:automotive_export_share:2025","poland","automotive_export_share","2025",,"%","pending","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&nace_r2=TOTAL&geo=PL&time=2025","A","2026-07-03","false","true","true","false","false","false","false","false","数值待接入","导入时 Eurostat ext_tec09 暂未发布该年度数值，保留为待接入。"
"v4_quality:hungary:fiscal_deficit_gdp:2021","hungary","fiscal_deficit_gdp","2021","-7.1","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=HU&time=2021","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:fiscal_deficit_gdp:2022","hungary","fiscal_deficit_gdp","2022","-6.2","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=HU&time=2022","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:fiscal_deficit_gdp:2023","hungary","fiscal_deficit_gdp","2023","-7","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=HU&time=2023","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:fiscal_deficit_gdp:2024","hungary","fiscal_deficit_gdp","2024","-5.1","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=HU&time=2024","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:fiscal_deficit_gdp:2025","hungary","fiscal_deficit_gdp","2025","-4.7","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=HU&time=2025","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_debt_gdp:2021","hungary","government_debt_gdp","2021","76.2","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=HU&time=2021","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_debt_gdp:2022","hungary","government_debt_gdp","2022","74.1","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=HU&time=2022","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_debt_gdp:2023","hungary","government_debt_gdp","2023","73.3","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=HU&time=2023","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_debt_gdp:2024","hungary","government_debt_gdp","2024","73.5","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=HU&time=2024","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_debt_gdp:2025","hungary","government_debt_gdp","2025","74.6","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=HU&time=2025","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_revenue_gdp:2021","hungary","government_revenue_gdp","2021","41","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TR&geo=HU&time=2021","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_revenue_gdp:2022","hungary","government_revenue_gdp","2022","42.9","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TR&geo=HU&time=2022","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_revenue_gdp:2023","hungary","government_revenue_gdp","2023","42.8","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TR&geo=HU&time=2023","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_revenue_gdp:2024","hungary","government_revenue_gdp","2024","42.2","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TR&geo=HU&time=2024","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_revenue_gdp:2025","hungary","government_revenue_gdp","2025","42.6","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TR&geo=HU&time=2025","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_expenditure_gdp:2021","hungary","government_expenditure_gdp","2021","48.1","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TE&geo=HU&time=2021","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_expenditure_gdp:2022","hungary","government_expenditure_gdp","2022","49.1","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TE&geo=HU&time=2022","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_expenditure_gdp:2023","hungary","government_expenditure_gdp","2023","49.7","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TE&geo=HU&time=2023","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:government_expenditure_gdp:2024","hungary","government_expenditure_gdp","2024","47.3","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TE&geo=HU&time=2024","A","2026-04-22","true","false","false","false","true","true","true","true","",""
